"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"616",235062.697909327,233567.303998533,236052.653779787,236503.016124816,236250.938440648,236284.553943566,237241.114891334,236306.647058938,236285.122794796,236252.437283509,236350.274976317,236605.393040263
"617",234885.631817806,233491.619899279,235853.20680394,235179.976522141,235810.958493528,235860.130522553,235782.390467803,235888.296717284,235860.594350658,235801.520660774,235965.539317614,235631.319216164
"618",234686.862548601,232173.897116139,235389.824051195,235643.301704225,235155.461226659,235412.053843229,236269.148270793,235208.313822759,235411.162760247,235157.867392377,235195.698645923,234296.397855713
"619",234842.869874875,233378.224062917,236274.007964844,235055.888669695,235383.90942579,236296.451421898,235382.13108517,235428.871614006,236296.013369715,235384.241566638,235792.769499777,234639.807580047
"620",235109.432258122,229594.922993791,237314.189192926,233513.630123512,236680.014386548,237064.366540343,234576.044876394,236875.803064837,237066.392584431,236682.455286252,236781.787478764,234913.59604134
"621",235065.101690442,232370.343063129,235279.650451393,235860.900326061,235263.454364119,235211.926636073,236743.077934283,235324.853854597,235212.408172815,235263.028406859,235206.425563312,235604.16241993
"622",235360.516334843,239831.581255498,238574.712503635,238061.480633559,238203.273760149,238496.58648866,237682.466870136,238174.478489522,238496.525725333,238203.952548936,238387.000933232,237079.027325762
"623",235968.438651569,237691.2661409,235644.502567954,236908.002268562,235895.876248017,235665.499055325,236743.169333866,235857.381645608,235664.166448295,235895.896235394,235714.239631521,236267.707926218
"624",234713.211596831,229674.864739674,236932.540643371,233202.587532044,236025.669300669,237028.922071205,234512.469137241,236151.864487527,237030.301506444,236025.153014863,236396.833245533,235289.636423302
"625",235207.355853189,233295.002235362,236573.378228224,236005.004041497,236366.359645688,236619.679783495,236652.336859532,236443.336647039,236620.645874982,236366.412537116,236473.358312556,236096.720206082
"626",234920.724212116,235003.407904805,235417.406122865,236628.613271383,235358.096732866,235416.419606355,237096.500538484,235365.579709103,235416.411507708,235358.382309196,235399.663038433,235328.987628372
"627",234472.614907227,240510.715740062,236689.035277016,239526.829723121,236664.666382313,236754.803739814,239304.235785583,236607.474585587,236755.235119871,236663.893943636,236675.219646312,236178.92495256
"628",234661.070349888,235481.067026214,236039.045967578,233596.833148391,235650.429518088,235889.492028178,232857.34228103,235653.87861941,235889.479180936,235650.066964893,235798.669914978,234647.505612042
"629",234509.846143317,229328.336778474,233756.16917197,234132.581926314,233541.049336893,233742.319198323,236091.517428852,233608.442894104,233741.435831979,233541.287145986,233649.548082185,233090.815570455
"630",234644.251061316,241748.199925851,235192.455100067,239884.490500244,235467.429385856,235113.769230581,239371.09926957,235329.758284326,235115.152020353,235464.349854093,235189.143452773,235802.102751218
"631",234622.37443499,224497.57104258,234852.479563836,232668.462577305,234866.060126268,234895.104961378,234994.150644963,235071.591856567,234906.571441796,234864.37676335,234803.017575783,235276.040542448
"632",234884.023498151,231446.163993341,234117.326311329,234209.258373795,234298.748585599,234104.375232529,235099.018397409,234371.130591806,234105.107002366,234296.046915524,234230.066153986,234771.848747702
"633",234330.673874234,229891.405131744,235576.517363623,232914.187451907,235177.525623262,235540.290025366,233798.204572437,235259.620798598,235536.617720358,235178.204885301,235268.455275145,234884.163687241
"634",234909.030418552,232551.226758467,235628.213457002,231159.314506443,234685.883551292,235672.706070189,230707.703275536,234731.830351325,235673.834510222,234689.314983157,235163.169978766,233974.875205647
"635",234328.850990242,232319.488155056,235498.454432649,232353.027450223,234831.050310095,235553.574131865,232359.615986072,234874.454929283,235551.517877195,234829.46425614,235322.273273454,234198.262705562
"636",234744.853738966,236362.618299592,235255.35453689,236863.950974471,235496.932777626,235286.363843463,236995.740936977,235480.667898898,235286.657639779,235497.107777668,235302.807691681,235317.276663807
